"Year","Subject group HECoS CAH1","Age group","Domicile","Gender","Applications"
"2024","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH26) geography, earth and environmental studies","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH07) physical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH04) psychology","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH09) mathematical sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH22) education and teaching","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH06) agriculture, food and related studies","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH16) law","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH05) veterinary sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2019","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2020","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2021","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2022","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2023","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2024","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2025","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2026","Unassigned","18","Northern Ireland","I prefer not to say","0"
"2019","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","0"
"2020","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","0"
"2021","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","0"
"2022","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","0"
"2023","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","0"
"2024","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","80"
"2025","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","90"
"2026","(CAH25) design, and creative and performing arts","18","Northern Ireland","I prefer not to say","80"
"2019","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","0"
"2020","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","0"
"2021","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","0"
"2022","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","0"
"2023","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","0"
"2024","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","20"
"2025","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","20"
"2026","(CAH10) engineering and technology","18","Northern Ireland","I prefer not to say","10"
"2019","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","0"
"2020","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","0"
"2021","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","0"
"2022","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","0"
"2023","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","0"
"2024","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","20"
"2025","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","20"
"2026","(CAH02) subjects allied to medicine","18","Northern Ireland","I prefer not to say","10"
"2019","(CAH19) language and area studies","18","Northern Ireland","I prefer not to say","0"
"2020","(CAH19) language and area studies","18","Northern Ireland","I prefer not to say","0"
"2021","(CAH19) language and area studies","18","Northern Ireland","I prefer not to say","0"
"2022","(CAH19) language and area studies","18","Northern Ireland","I prefer not to say","0"
"2023","(CAH19) language and area studies","18","Northern Ireland","I prefer not to say","0"
